"compound","neutral sentence","both synonyms"
"abalo sísmico","Este é um abalo sísmico .","Esta é uma trepidação enérgica ."
"acampamento militar","Este é um acampamento militar .","Este é um camping bélico ."
"agente secreto","Este é um agente secreto .","Este é um agenciador oculto ."
"água doce","Esta é uma água doce .","Este é um fluido açucarado ."
"água mineral","Esta é uma água mineral .","Este é um fluido inorgânico ."
"alarme falso","Este é um alarme falso .","Este é um aviso fingido ."
"algodão-doce","Este é um algodão-doce .","Este é um algodoeiro açucarado ."
"alta temporada","Esta é uma alta temporada .","Esta é uma elevada época ."
"alta-costura","Esta é uma alta-costura .","Esta é uma elevada sutura ."
"alto mar","Este é um alto mar .","Este é um elevado oceano ."
"alto-falante","Este é um alto-falante .","Este é um elevado locutor ."
"amigo oculto","Este é um amigo oculto .","Este é um companheiro escondido ."
"amigo secreto","Este é um amigo secreto .","Este é um companheiro oculto ."
"amor-próprio","Este é um amor-próprio .","Este é um afeto pessoal ."
"ano-novo","Este é um ano-novo .","Esta é uma data recente ."
"ar condicionado","Este é um ar condicionado .","Esta é uma brisa dependente ."
"ar livre","Este é um ar livre .","Esta é uma brisa liberta ."
"arma branca","Esta é uma arma branca .","Esta é uma pistola alva ."
"ato falho","Este é um ato falho .","Esta é uma ação falhada ."
"banho turco","Este é um banho turco .","Este é um mergulho otomano ."
"batata-doce","Esta é uma batata-doce .","Este é um tubérculo açucarado ."
"bebida alcoólica","Esta é uma bebida alcoólica .","Este é um líquido etílico ."
"bode expiatório","Este é um bode expiatório .","Este é um mestiço remissório ."
"braço direito","Este é um braço direito .","Este é um membro destro ."
"buraco negro","Este é um buraco negro .","Este é um furo preto ."
"café colonial","Este é um café colonial .","Este é um cafezeiro colonialista ."
"caixa-forte","Esta é uma caixa-forte .","Esta é uma arca dura ."
"caixa-preta","Esta é uma caixa-preta .","Esta é uma arca negra ."
"caixeiro viajante","Este é um caixeiro viajante .","Este é um empregado viageiro ."
"câmara fria","Esta é uma câmara fria .","Este é um compartimento fresco ."
"carne branca","Esta é uma carne branca .","Este é um bife alvo ."
"carne vermelha","Esta é uma carne vermelha .","Este é um bife encarnado ."
"carro-forte","Este é um carro-forte .","Esta é uma viatura dura ."
"carta aberta","Esta é uma carta aberta .","Esta é uma correspondência acessível ."
"centro comercial","Este é um centro comercial .","Esta é uma congregação mercantil ."
"centro espírita","Este é um centro espírita .","Esta é uma congregação espiritista ."
"cerca viva","Esta é uma cerca viva .","Esta é uma vedação ativa ."
"céu aberto","Este é um céu aberto .","Este é um firmamento acessível ."
"cheiro-verde","Este é um cheiro-verde .","Este é um odor esverdeado ."
"circuito integrado","Este é um circuito integrado .","Este é um contorno incluído ."
"círculo vicioso","Este é um círculo vicioso .","Esta é uma circunferência viciada ."
"círculo virtuoso","Este é um círculo virtuoso .","Esta é uma circunferência honrada ."
"classe executiva","Esta é uma classe executiva .","Esta é uma categoria administradora ."
"colégio militar","Este é um colégio militar .","Esta é uma escola bélica ."
"coluna social","Esta é uma coluna social .","Este é um pilar comunitário ."
"comida caseira","Esta é uma comida caseira .","Este é um alimento doméstico ."
"companhia aérea","Esta é uma companhia aérea .","Esta é uma empresa aeronáutica ."
"conta-corrente","Esta é uma conta-corrente .","Esta é uma contagem ordinária ."
"coração partido","Este é um coração partido .","Esta é uma alma quebrada ."
"corda bamba","Esta é uma corda bamba .","Este é um cabo lasso ."
"cordas vocais","Estas são cordas vocais .","Estes são cabos orais ."
"curto-circuito","Este é um curto-circuito .","Este é um contorno limitado ."
"deputado federal","Este é um deputado federal .","Este é um representante federalista ."
"desfile militar","Este é um desfile militar .","Esta é uma marcha bélica ."
"direitos humanos","Estes são direitos humanos .","Estes são benefícios humanais ."
"disco rígido","Este é um disco rígido .","Este é um círculo rijo ."
"disco voador","Este é um disco voador .","Este é um círculo voante ."
"efeito especial","Este é um efeito especial .","Esta é uma execução incomum ."
"elefante branco","Este é um elefante branco .","Este é um paquiderme alvo ."
"escada rolante","Esta é uma escada rolante .","Esta é uma escaleira rotatória ."
"estrela cadente","Esta é uma estrela cadente .","Este é um astro descente ."
"exame clínico","Este é um exame clínico .","Esta é uma análise médica ."
"exame laboratorial","Este é um exame laboratorial .","Esta é uma análise científica ."
"farinha integral","Esta é uma farinha integral .","Esta é uma sêmola íntegra ."
"febre amarela","Esta é uma febre amarela .","Esta é uma pirexia amarelada ."
"ficha limpa","Esta é uma ficha limpa .","Este é um registro impoluto ."
"fila indiana","Esta é uma fila indiana .","Esta é uma linha índia ."
"fio condutor","Este é um fio condutor .","Este é um cordão transmissor ."
"força bruta","Esta é uma força bruta .","Esta é uma potência crua ."
"gato-pingado","Este é um gato-pingado .","Este é um felino chuviscado ."
"gelo-seco","Este é um gelo-seco .","Esta é uma geada enxuta ."
"golpe baixo","Este é um golpe baixo .","Esta é uma batida inferior ."
"governo federal","Este é um governo federal .","Esta é uma governação federalista ."
"gripe aviária","Esta é uma gripe aviária .","Esta é uma constipação aviculária ."
"gripe suína","Esta é uma gripe suína .","Esta é uma constipação porcina ."
"guarda-florestal","Este é um guarda-florestal .","Este é um guardião silvícola ."
"jogo duro","Este é um jogo duro .","Esta é uma partida rígida ."
"juízo final","Este é um juízo final .","Este é um julgamento último ."
"leite integral","Este é um leite integral .","Este é um laticínio íntegro ."
"lista negra","Esta é uma lista negra .","Esta é uma listagem preta ."
"livre-docente","Este é um livre-docente .","Este é um professor liberto ."
"livro aberto","Este é um livro aberto .","Este é um volume acessível ."
"longa data","Esta é uma longa data .","Esta é uma época comprida ."
"longa-metragem","Este é um longa-metragem .","Esta é uma medição comprida ."
"lua cheia","Esta é uma lua cheia .","Este é um satélite carregado ."
"lua nova","Esta é uma lua nova .","Este é um satélite recente ."
"lugar-comum","Este é um lugar-comum .","Este é um local público ."
"má-fé","Esta é uma má-fé .","Esta é uma crença ruim ."
"magia negra","Esta é uma magia negra .","Esta é uma feitiçaria preta ."
"mão-fechada","Esta é uma mão-fechada .","Este é um palmo cerrado ."
"máquina virtual","Esta é uma máquina virtual .","Este é um aparelho potencial ."
"mar aberto","Este é um mar aberto .","Este é um oceano acessível ."
"maré alta","Esta é uma maré alta .","Este é um fluxo elevado ."
"maré baixa","Esta é uma maré baixa .","Este é um fluxo inferior ."
"massa cinzenta","Esta é uma massa cinzenta .","Esta é uma matéria alvacenta ."
"mau contato","Este é um mau contato .","Este é um tocamento ruim ."
"mau-humor","Este é um mau-humor .","Este é um temperamento ruim ."
"mau-olhado","Este é um mau-olhado .","Este é um observado ruim ."
"mercado negro","Este é um mercado negro .","Este é um negócio preto ."
"mesa-redonda","Esta é uma mesa-redonda .","Esta é uma secretária circular ."
"montanha-russa","Esta é uma montanha-russa .","Este é um monte moscovita ."
"navio negreiro","Este é um navio negreiro .","Este é um barco escravo ."
"nó cego","Este é um nó cego .","Este é um laço invisual ."
"novo mundo","Este é um novo mundo .","Este é um planeta recente ."
"novo-rico","Este é um novo-rico .","Este é um endinheirado recente ."
"núcleo atômico","Este é um núcleo atômico .","Este é um cerne nuclear ."
"olho gordo","Este é um olho gordo .","Esta é uma vista obesa ."
"olho mágico","Este é um olho mágico .","Esta é uma vista feiticeira ."
"olho nu","Este é um olho nu .","Esta é uma vista despida ."
"ônibus executivo","Este é um ônibus executivo .","Este é um autocarro administrador ."
"ovelha negra","Esta é uma ovelha negra .","Esta é uma borrega preta ."
"pão-duro","Este é um pão-duro .","Esta é uma broa rígida ."
"papel higiênico","Este é um papel higiênico .","Esta é uma folha higienizada ."
"paraíso fiscal","Este é um paraíso fiscal .","Este é um éden tributário ."
"pastor alemão","Este é um pastor alemão .","Este é um pegureiro germânico ."
"pau-mandado","Este é um pau-mandado .","Este é um madeiro ordenado ."
"pavio curto","Este é um pavio curto .","Esta é uma mecha pequena ."
"pé quente","Este é um pé quente .","Esta é uma pata cálida ."
"pé-direito","Este é um pé-direito .","Esta é uma pata destra ."
"pé-frio","Este é um pé-frio .","Esta é uma pata fresca ."
"pente fino","Este é um pente fino .","Esta é uma carda estreita ."
"peso morto","Este é um peso morto .","Esta é uma carga falecida ."
"planta baixa","Esta é uma planta baixa .","Este é um plano inferior ."
"poção mágica","Esta é uma poção mágica .","Este é um remédio feiticeiro ."
"pólo-aquático","Este é um pólo-aquático .","Este é um andebol aquoso ."
"ponto cego","Este é um ponto cego .","Este é um lugar invisual ."
"ponto forte","Este é um ponto forte .","Este é um lugar duro ."
"ponto fraco","Este é um ponto fraco .","Este é um lugar débil ."
"prato feito","Este é um prato feito .","Esta é uma comida realizada ."
"primeira infância","Esta é uma primeira infância .","Esta é uma meninice inicial ."
"primeira mão","Esta é uma primeira mão .","Este é um palmo inicial ."
"primeira necessidade","Esta é uma primeira necessidade .","Esta é uma exigência inicial ."
"primeira-dama","Esta é uma primeira-dama .","Esta é uma mulher inicial ."
"primeiro ministro","Este é um primeiro ministro .","Este é um servidor inicial ."
"primeiro plano","Este é um primeiro plano .","Este é um nível inicial ."
"príncipe encantado","Este é um príncipe encantado .","Este é um infante enfeitiçado ."
"processo seletivo","Este é um processo seletivo .","Este é um procedimento selecionado ."
"pronto-socorro","Este é um pronto-socorro .","Esta é uma assistência rápida ."
"puro-sangue","Este é um puro-sangue .","Este é um plasma autêntico ."
"quadro-negro","Este é um quadro-negro .","Este é um painel preto ."
"queda livre","Esta é uma queda livre .","Esta é uma caída liberta ."
"quinta categoria","Esta é uma quinta categoria .","Esta é uma quarta classe ."
"rede social","Esta é uma rede social .","Esta é uma malha comunitária ."
"regime político","Este é um regime político .","Este é um sistema parlamentar ."
"relógio analógico","Este é um relógio analógico .","Este é um temporizador análogo ."
"relógio biológico","Este é um relógio biológico .","Este é um temporizador orgânico ."
"reta final","Esta é uma reta final .","Esta é uma linha última ."
"roda gigante","Esta é uma roda gigante .","Este é um círculo enorme ."
"roleta russa","Esta é uma roleta russa .","Esta é uma roda moscovita ."
"saia justa","Esta é uma saia justa .","Este é um vestido apertado ."
"sala cirúrgica","Esta é uma sala cirúrgica .","Este é um salão operatório ."
"salão paroquial","Este é um salão paroquial .","Esta é uma sala diocesana ."
"sangue azul","Este é um sangue azul .","Este é um plasma anil ."
"sangue frio","Este é um sangue frio .","Este é um plasma fresco ."
"sangue quente","Esta é uma sangue quente .","Este é um plasma cálido ."
"secretária eletrônica","Esta é uma secretária eletrônica .","Este é um ajudante digital ."
"segundas intenções","Estas são segundas intenções .","Estes são propósitos secundários ."
"segundo plano","Este é um segundo plano .","Este é um nível secundário ."
"sentença judicial","Esta é uma sentença judicial .","Esta é uma deliberação judiciária ."
"sétima arte","Esta é uma sétima arte .","Esta é uma sexta técnica ."
"sexto sentido","Este é um sexto sentido .","Este é um quinto significado ."
"sinal verde","Este é um sinal verde .","Este é um símbolo esverdeado ."
"sistema político","Este é um sistema político .","Esta é uma estrutura parlamentar ."
"tapete vermelho","Este é um tapete vermelho .","Esta é uma alcatifa encarnada ."
"tartaruga-marinha","Esta é uma tartaruga-marinha .","Este é um cágado marítimo ."
"tela plana","Esta é uma tela plana .","Este é um ecrã liso ."
"tempo real","Este é um tempo real .","Este é um período autêntico ."
"terceira idade","Esta é uma terceira idade .","Esta é uma terça vida ."
"terceira pessoa","Esta é uma terceira pessoa .","Esta é uma terça personalidade ."
"tiro livre","Este é um tiro livre .","Este é um disparo liberto ."
"trabalho braçal","Este é um trabalho braçal .","Esta é uma tarefa braquial ."
"trabalho escravo","Este é um trabalho escravo .","Esta é uma tarefa prisioneira ."
"vaca louca","Esta é uma vaca louca .","Este é um boi demente ."
"vinho branco","Este é um vinho branco .","Este é um champanhe alvo ."
"vinho tinto","Este é um vinho tinto .","Este é um champanhe tingido ."
"vista grossa","Esta é uma vista grossa .","Esta é uma visão espessa ."
"viva voz","Esta é uma viva voz .","Esta é uma fala ativa ."
"vôo doméstico","Este é um vôo doméstico .","Esta é uma viagem familiar ."
"vôo internacional","Este é um vôo internacional .","Esta é uma viagem exterior ."
"voto secreto","Este é um voto secreto .","Este é um sufrágio oculto ."
